flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,stability_gain,stability_decay,coupling,write_threshold,release_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,stability_success,delayed_retention,release_rate,overload_rate,mean_contact_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.12,0.88,0.26,0.95,0.22,0.42,0.12,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.12,0.88,0.26,0.95,0.22,0.42,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.12,0.94,0.08,0.9,0.34,0.58,0.06,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.12,0.94,0.08,0.9,0.34,0.58,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.12,0.94,0.08,0.9,0.34,0.58,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.12,0.94,0.08,0.9,0.34,0.58,0.06,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.12,0.94,0.08,0.9,0.34,0.58,0.06,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.12,0.94,0.08,0.9,0.34,0.58,0.06,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.12,0.94,0.08,0.9,0.34,0.58,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.12,0.94,0.16,0.95,0.22,0.74,0.06,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.12,0.94,0.16,0.95,0.22,0.74,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.12,0.94,0.16,0.95,0.22,0.74,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.12,0.94,0.16,0.95,0.22,0.74,0.06,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.12,0.94,0.16,0.95,0.22,0.74,0.06,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.12,0.94,0.16,0.95,0.22,0.74,0.06,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.12,0.94,0.16,0.95,0.22,0.74,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.12,0.98,0.08,0.95,0.12,0.42,0.06,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.12,0.98,0.08,0.95,0.12,0.42,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.12,0.98,0.08,0.95,0.12,0.42,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.12,0.98,0.08,0.95,0.12,0.42,0.06,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.12,0.98,0.08,0.95,0.12,0.42,0.06,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.12,0.98,0.08,0.95,0.12,0.42,0.06,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.12,0.98,0.08,0.95,0.12,0.42,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.12,0.98,0.16,0.9,0.22,0.42,0.06,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.12,0.98,0.16,0.9,0.22,0.42,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.12,0.98,0.16,0.9,0.22,0.42,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.12,0.98,0.16,0.9,0.22,0.42,0.06,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.12,0.98,0.16,0.9,0.22,0.42,0.06,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.12,0.98,0.16,0.9,0.22,0.42,0.06,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.12,0.98,0.16,0.9,0.22,0.42,0.06,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.12,0.98,0.16,0.95,0.12,0.58,0.06,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.12,0.98,0.16,0.95,0.12,0.58,0.06,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.12,0.98,0.16,0.95,0.12,0.58,0.06,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.12,0.98,0.16,0.95,0.12,0.58,0.06,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.12,0.98,0.16,0.95,0.12,0.58,0.06,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.12,0.98,0.16,0.95,0.12,0.58,0.06,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.12,0.98,0.16,0.95,0.12,0.58,0.06,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.88,0.08,0.9,0.22,0.74,0.12,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.88,0.08,0.9,0.22,0.74,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.88,0.08,0.9,0.22,0.74,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.88,0.08,0.9,0.22,0.74,0.12,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.88,0.08,0.9,0.22,0.74,0.12,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.88,0.08,0.9,0.22,0.74,0.12,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.22,0.88,0.08,0.9,0.22,0.74,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.88,0.16,0.9,0.12,0.58,0.06,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.6429868820169977,0.34400536066860093
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.88,0.16,0.9,0.12,0.58,0.06,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.6486842065007103,0.34482142801146765
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.88,0.16,0.9,0.12,0.58,0.06,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.688794332848117,0.351763159493371
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.88,0.16,0.9,0.12,0.58,0.06,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5502573802676192,0.32864416430584176
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.88,0.16,0.9,0.12,0.58,0.06,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5583859055236522,0.3277813802877817
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.88,0.16,0.9,0.12,0.58,0.06,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.7256016006141862,0.35750415729819396
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.22,0.88,0.16,0.9,0.12,0.58,0.06,1.1,0.0,307.0,307.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.6784831164783316,0.34867742102316723
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.94,0.26,0.9,0.12,0.58,0.12,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.94,0.26,0.9,0.12,0.58,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.94,0.26,0.9,0.12,0.58,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.94,0.26,0.9,0.12,0.58,0.12,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.94,0.26,0.9,0.12,0.58,0.12,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.94,0.26,0.9,0.12,0.58,0.12,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.22,0.94,0.26,0.9,0.12,0.58,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.94,0.26,0.9,0.34,0.42,0.12,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.94,0.26,0.9,0.34,0.42,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.94,0.26,0.9,0.34,0.42,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.94,0.26,0.9,0.34,0.42,0.12,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.94,0.26,0.9,0.34,0.42,0.12,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.94,0.26,0.9,0.34,0.42,0.12,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.22,0.94,0.26,0.9,0.34,0.42,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.94,0.26,0.95,0.22,0.58,0.12,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.94,0.26,0.95,0.22,0.58,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.94,0.26,0.95,0.22,0.58,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.94,0.26,0.95,0.22,0.58,0.12,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.94,0.26,0.95,0.22,0.58,0.12,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.94,0.26,0.95,0.22,0.58,0.12,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.22,0.94,0.26,0.95,0.22,0.58,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.98,0.08,0.9,0.34,0.42,0.12,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.98,0.08,0.9,0.34,0.42,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.98,0.08,0.9,0.34,0.42,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.98,0.08,0.9,0.34,0.42,0.12,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.98,0.08,0.9,0.34,0.42,0.12,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.98,0.08,0.9,0.34,0.42,0.12,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.22,0.98,0.08,0.9,0.34,0.42,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.98,0.08,0.95,0.12,0.58,0.06,1.45,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3629206026059051,0.0,0.5883785562559376,0.3391758620316101
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.98,0.08,0.95,0.12,0.58,0.06,1.45,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.3606356819055242,0.0,0.6987942210481085,0.3553118188652934
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.98,0.08,0.95,0.12,0.58,0.06,1.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35760195906228986,0.0,0.6663409691694706,0.37272155403121465
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.98,0.08,0.95,0.12,0.58,0.06,1.45,0.0,22.0,21.0,0.0,0.0,0.0,0.0,0.4883720930232558,0.0,0.3774309366291299,0.0,0.6620071990180465,0.34934052702975577
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.98,0.08,0.95,0.12,0.58,0.06,1.45,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3520572795657192,0.0,0.6016627512604622,0.3439045458537408
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.98,0.08,0.95,0.12,0.58,0.06,1.45,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.3479549365924406,0.0,0.6179075613751186,0.3400423071582387
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.22,0.98,0.08,0.95,0.12,0.58,0.06,1.45,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.34418683698619107,0.0,0.6925001015239527,0.3539782561091568
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.22,0.98,0.16,0.95,0.12,0.42,0.12,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.22,0.98,0.16,0.95,0.12,0.42,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.22,0.98,0.16,0.95,0.12,0.42,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.22,0.98,0.16,0.95,0.12,0.42,0.12,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.22,0.98,0.16,0.95,0.12,0.42,0.12,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.22,0.98,0.16,0.95,0.12,0.42,0.12,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
