gate_mode,pressure_threshold,sparsity_threshold,gate_rate,pressure_mean,score,score_core,blended_diff_vs_no,core_diff_vs_no,blended_diff_vs_always,core_diff_vs_always
pressure_drift,0.38,0.54,0.0,0.3799812315744502,0.5598354031163355,0.6997929316562994,2.875463644969045e-08,-2.8434925081199935e-08,-0.06966830159599591,0.006395532472524668
pressure_soft,0.5,0.54,0.0,0.37998192615678344,0.5598354060139668,0.6997929296891892,3.165226769574758e-08,-3.040203533366537e-08,-0.06966829869836466,0.006395530505414415
pressure_drift,0.25,0.42,0.0,0.3799820288494539,0.5598353766015767,0.6997929148983798,2.2398776167165124e-09,-4.519284468873508e-08,-0.06966832811075474,0.00639551571460506
pressure_drift,0.38,0.18,0.0,0.37998214266315755,0.5598352645639646,0.6997927568271514,-1.0979773445995988e-07,-2.0326407312865058e-07,-0.06966844014836682,0.00639535764337662
pressure_soft,0.62,0.54,0.0,0.37998166649174603,0.5598352094161743,0.6997927033790023,-1.6494552479429103e-07,-2.5671222214640466e-07,-0.06966849529615715,0.006395304195227602
pressure_drift,0.25,0.3,0.0,0.37998072864869187,0.5598351926162597,0.699792699458581,-1.8174543936488874e-07,-2.6063264346731785e-07,-0.06966851209607172,0.0063953002748062815
pressure_soft,0.5,0.18,0.0,0.3799819161073744,0.5598351977494581,0.6997926827249106,-1.766122409430082e-07,-2.7736631391661604e-07,-0.0696685069628733,0.006395283541135832
pressure_and_sparse,0.5,0.3,0.0,0.37998162535762864,0.5598351267976004,0.6997926204582663,-2.475640986654426e-07,-3.396329582017188e-07,-0.06966857791473102,0.006395221274491547
pressure_and_sparse,0.5,0.54,0.0,0.37998047695913506,0.5598351063735598,0.6997926036401749,-2.6798813923534226e-07,-3.5645104956572027e-07,-0.06966859833877159,0.006395204456400183
pressure_and_sparse,0.62,0.54,0.0,0.37998100738015095,0.5598351149161624,0.6997925894353008,-2.59445536610059e-07,-3.706559237315332e-07,-0.06966858979616897,0.006395190251526017
pressure_drift,0.38,0.42,0.0,0.3799805487922253,0.5598350853050917,0.6997925847275183,-2.8905660731659566e-07,-3.753637062287041e-07,-0.06966861940723967,0.00639518554374352
pressure_soft,0.38,0.18,5.059543586166167e-05,0.37998174802387286,0.5598546097092859,0.6997925836333379,1.9235347586854523e-05,-3.764578866416457e-07,-0.0696490950030455,0.006395184449563107
pressure_soft,0.38,0.42,4.9383164901249215e-05,0.3799816986351717,0.5598542514548732,0.6997925561818228,1.8877093174163306e-05,-4.0390940170276224e-07,-0.0696494532574582,0.006395156998048046
pressure_drift,0.5,0.54,0.0,0.37998130237340566,0.559835067780402,0.6997925400819125,-3.0658129701599535e-07,-4.200093119965942e-07,-0.06966863693192937,0.006395140898137752
pressure_drift,0.25,0.54,0.0,0.3799822876788132,0.5598350768844376,0.6997925289915155,-2.974772614905419e-07,-4.310997090417601e-07,-0.06966862782789385,0.006395129807740707
pressure_drift,0.38,0.3,0.0,0.3799815296166268,0.5598350566134546,0.6997925257537482,-3.1774824449382066e-07,-4.3433747631826947e-07,-0.06966864809887685,0.0063951265699734305
pressure_soft,0.38,0.54,5.0118564160966414e-05,0.3799817317025969,0.5598543373006301,0.699792475464253,1.8962938930999762e-05,-4.846269714420259e-07,-0.06964936741170136,0.006395076280478307
pressure_drift,0.12,0.18,0.0,0.3799810484069732,0.5598349025085212,0.6997923452232934,-4.718531778635793e-07,-6.14867931125751e-07,-0.06966880220381022,0.006394946039518623
pressure_soft,0.5,0.42,0.0,0.37998184945815366,0.5598348546653391,0.6997922703065775,-5.196963599463089e-07,-6.897846469566815e-07,-0.0696688500469923,0.006394871122802792
pressure_drift,0.25,0.18,0.0,0.3799814860532353,0.5598348514269034,0.6997922592539589,-5.229347956881014e-07,-7.008372655548101e-07,-0.06966885328542805,0.006394860070184194
pressure_and_sparse,0.5,0.42,0.0,0.379981448614087,0.5598347759459945,0.6997921972196618,-5.984157045446636e-07,-7.628715626983862e-07,-0.0696689287663369,0.00639479803588705
pressure_soft,0.38,0.3,5.028826172769934e-05,0.37998204675542957,0.5598541848432872,0.6997921801451956,1.8810481588138472e-05,-7.799460288726578e-07,-0.06964951986904422,0.006394780961420876
pressure_drift,0.12,0.42,0.0,0.37998345144512385,0.5598347827558581,0.6997921488113077,-5.91605840982723e-07,-8.112799168014106e-07,-0.06966892195647334,0.006394749627532947
pressure_drift,0.62,0.54,0.0,0.37998184422383724,0.5598347313878171,0.699792128008926,-6.429738819146991e-07,-8.320822985075083e-07,-0.06966897332451427,0.006394728825151241
pressure_soft,0.5,0.3,0.0,0.37998116831098383,0.5598346780762338,0.6997920698446021,-6.962854652847739e-07,-8.902466224203209e-07,-0.06966902663609764,0.0063946706608273285
pressure_and_sparse,0.62,0.18,0.0,0.37998206748590396,0.5598346686715008,0.6997920129322368,-7.056901982771535e-07,-9.471589876852704e-07,-0.06966903604083063,0.0063946137484620635
pressure_and_sparse,0.62,0.42,0.0,0.3799839684245267,0.5598343872985938,0.6997916568521578,-9.870631052510959e-07,-1.3032390666634086e-06,-0.06966931741373761,0.006394257668383085
pressure_soft,0.25,0.42,0.17347215181555817,0.38010411386166865,0.5827968105257467,0.6994874654021739,0.022961436164047666,-0.0003054946890506116,-0.04670689418658469,0.006090066218399137
pressure_soft,0.25,0.18,0.17347306356373746,0.3801047976728031,0.5827967945553115,0.6994873600231737,0.02296142019361247,-0.0003056000680508042,-0.04670691015701989,0.006089960839398945
pressure_soft,0.25,0.54,0.1734745719905046,0.3801059289928785,0.5827961155843009,0.6994862954151718,0.022960741222601833,-0.00030666467605267034,-0.046707589128030524,0.0060888962313970785
pressure_soft,0.25,0.3,0.1734770385010174,0.38010777887576297,0.5827949250560476,0.6994846482024145,0.02295955069434852,-0.0003083118888099756,-0.04670877965628384,0.006087249018639773
pressure_soft,0.12,0.54,0.2958231279762516,0.38032435261910147,0.5937035611958806,0.6990238619591821,0.03386818683418158,-0.0007690981320424006,-0.03580014351645078,0.005626462775407348
pressure_soft,0.12,0.42,0.2958223622768949,0.3803236788036675,0.5937029116435711,0.6990237562434409,0.033867537281872084,-0.0007692038477835617,-0.03580079306876027,0.005626357059666187
pressure_soft,0.12,0.3,0.2958245571418335,0.3803256102848135,0.5937024734279036,0.6990230939231945,0.03386709906620455,-0.0007698661680299868,-0.035801231284427804,0.005625694739419762
pressure_soft,0.12,0.18,0.29582603780189143,0.3803269132656644,0.5937009945270706,0.6990214077499972,0.033865620165371535,-0.0007715523412272773,-0.03580271018526082,0.0056240085662224715
pressure_and_sparse,0.38,0.54,0.9208333333333333,0.3827788615861096,0.6240427695663195,0.6938382974742257,0.06420739520462049,-0.00595466261699884,-0.005460935146011869,0.00044089829045090845
pressure_and_sparse,0.38,0.42,0.9286458333333333,0.3828019773622888,0.6246342371865174,0.6937884649513413,0.06479886282481839,-0.006004495139883215,-0.004869467525813964,0.0003910657675665341
pressure_and_sparse,0.38,0.3,0.92890625,0.38280502919518317,0.6246179800545043,0.6937809262642185,0.06478260569280525,-0.006012033827005991,-0.004885724657827106,0.0003835270804437574
pressure_and_sparse,0.38,0.18,0.9302083333333333,0.38280831549583577,0.6247527183395534,0.6937775962976482,0.06491734397785431,-0.006015363793576256,-0.004750986372778043,0.00038019711387349275
pressure_or_sparse,0.62,0.18,1.0,0.38298663640121355,0.6295085320665229,0.6934027075999695,0.06967315770482385,-0.006390252491255022,4.827354191494493e-06,5.308416194726995e-06
pressure_or_sparse,0.25,0.54,1.0,0.3829863150066062,0.6295077721851233,0.6934021445548053,0.06967239782342427,-0.006390815536419181,4.067472791913218e-06,4.745371030567824e-06
pressure_or_sparse,0.25,0.42,1.0,0.3829872063481904,0.6295063986764804,0.6934013718317429,0.06967102431478134,-0.0063915882594816065,2.693964148980932e-06,3.97264796814234e-06
pressure_or_sparse,0.25,0.18,1.0,0.382986089564205,0.6295094178145484,0.6934013575215039,0.06967404345284933,-0.0063916025697206,5.7131022169754075e-06,3.958337729148553e-06
pressure_and_sparse,0.12,0.42,1.0,0.3829876731767596,0.6295072843515349,0.6934007068955819,0.06967190998983586,-0.006392253195642628,3.579639203499241e-06,3.307711807121194e-06
pressure_or_sparse,0.12,0.3,1.0,0.38298665899549805,0.6295071057214431,0.6934003766517105,0.06967173135974403,-0.006392583439513988,3.4010091116698504e-06,2.9774679357608136e-06
pressure_and_sparse,0.12,0.18,1.0,0.3829890696462126,0.6295068301876819,0.6934001803277425,0.06967145582598289,-0.006392779763481959,3.1254753505294275e-06,2.78114396778939e-06
pressure_or_sparse,0.62,0.3,1.0,0.38298861656309763,0.6295051347334477,0.6933998231717868,0.06966976037174866,-0.006393136919437659,1.4300211162998622e-06,2.4239880120902058e-06
pressure_or_sparse,0.25,0.3,1.0,0.38298762566818445,0.6295046452435819,0.6933990099130622,0.0696692708818828,-0.006393950178162244,9.405312504373597e-07,1.6107292875044976e-06
pressure_or_sparse,0.12,0.42,1.0,0.3829879803104968,0.6295046074047633,0.6933989762422266,0.06966923304306427,-0.0063939838489979195,9.026924319144314e-07,1.5770584518293163e-06
pressure_or_sparse,0.5,0.42,1.0,0.382989595075313,0.629505179178504,0.6933989692518868,0.06966980481680496,-0.006393990839337671,1.4744661726018293e-06,1.570068112077827e-06
pressure_or_sparse,0.38,0.18,1.0,0.38298683856612936,0.6295058920082952,0.6933989367325772,0.06967051764659615,-0.0063940233586472495,2.1872959637958544e-06,1.5375488024993444e-06
pressure_and_sparse,0.25,0.3,1.0,0.3829875754262807,0.6295061418928856,0.6933988841859455,0.0696707675311865,-0.006394075905278962,2.4371805541489877e-06,1.4850021707868422e-06
pressure_and_sparse,0.12,0.3,1.0,0.38298746405863465,0.6295053787136655,0.6933988161685389,0.06967000435196646,-0.006394143922685558,1.6740013341065563e-06,1.4169847641909428e-06
pressure_and_sparse,0.25,0.18,1.0,0.38298399847899606,0.6295055773838439,0.6933985229896051,0.06967020302214488,-0.006394437101619355,1.872671512526125e-06,1.1238058303941756e-06
pressure_or_sparse,0.5,0.54,1.0,0.38298942788246004,0.6295050148499064,0.6933982630202561,0.06966964048820734,-0.0063946970709684026,1.3101375749835498e-06,8.638364813462474e-07
pressure_or_sparse,0.5,0.18,1.0,0.3829893535441846,0.6295043290926603,0.6933976403479669,0.06966895473096124,-0.006395319743257577,6.243803288841221e-07,2.411641921717944e-07
pressure_or_sparse,0.12,0.18,1.0,0.3829898068993303,0.6295050239558388,0.6933975490447728,0.0696696495941398,-0.006395411046451693,1.3192435074360631e-06,1.4986099805547326e-07
pressure_or_sparse,0.12,0.54,1.0,0.38298924449960975,0.6295062523371986,0.6933974813477316,0.06967087797549953,-0.006395478743492888,2.5476248671774115e-06,8.21639568604482e-08
pressure_or_sparse,0.38,0.54,1.0,0.3829892413991864,0.6295052422937266,0.6933969652696108,0.06966986793202756,-0.006395994821613682,1.537581395205656e-06,-4.3391416393312454e-07
pressure_or_sparse,0.38,0.42,1.0,0.38299018431644366,0.6295022588644176,0.6933965227386432,0.06966688450271852,-0.00639643735258133,-1.44584791383906e-06,-8.764451315812494e-07
pressure_or_sparse,0.5,0.3,1.0,0.382989377802852,0.6295026883082616,0.6933961068855292,0.06966731394656256,-0.006396853205695274,-1.0164040697979715e-06,-1.2922982455254584e-06
pressure_or_sparse,0.62,0.54,1.0,0.38298824965184747,0.6295040644951326,0.6933959697177234,0.06966869013343358,-0.006396990373501055,3.5978280121806705e-07,-1.4294660513058943e-06
pressure_and_sparse,0.12,0.54,1.0,0.382992611714083,0.6295039876799924,0.6933959209951491,0.06966861331829333,-0.006397039096075363,2.829676609694687e-07,-1.4781886256143295e-06
pressure_and_sparse,0.25,0.54,1.0,0.3829897311200083,0.6295039522533528,0.6933956515107634,0.0696685778916537,-0.0063973085804610585,2.4754102134760814e-07,-1.747673011309736e-06
pressure_or_sparse,0.38,0.3,1.0,0.3829904814956693,0.6295015052804627,0.6933952775096297,0.06966613091876361,-0.006397682581594788,-2.1994318687434955e-06,-2.121674145039165e-06
pressure_or_sparse,0.62,0.42,1.0,0.3829905487687159,0.6295009138298693,0.6933929666492863,0.06966553946817022,-0.006399993441938201,-2.790882462133659e-06,-4.432534488452156e-06
pressure_and_sparse,0.25,0.42,1.0,0.3829884450403629,0.6295007125894774,0.6933924441024633,0.06966533822777832,-0.006400515988761235,-2.9921228540397138e-06,-4.9550813114862535e-06
