family,noise_level,damage_mode,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_repair_heavy,seed
generic_ternary,0.4,wrong,0.9291039903038033,0.8133605889622878,0.20743035434314322,0.9167025774393316,0.8133605889622878,0.8135582966511355,0.0,0.741150688462603,0.6884327946627288,20260528
fibonacci,0.2,wrong,0.96914840542169,0.6064240919289114,0.6064240919289114,0.7064767151884402,0.6064240919289114,0.6064440781710904,0.0,0.6739798460527233,0.6439603754285967,20260529
generic_ternary,0.2,wrong,0.9465707616789769,0.8396256855632989,0.23170350381157404,0.9230773879442672,0.8396256855632989,0.8397468072661439,0.0,0.7623622971362478,0.7104115652154209,20260529
fibonacci,0.3,wrong,0.9600960596442708,0.5604140425733695,0.5604140425733695,0.6800776226289907,0.5604140425733695,0.5603954815946162,0.0,0.6382971988490799,0.6051269297317894,20260529
generic_ternary,0.3,wrong,0.9363335875592985,0.8258814869684082,0.21628346447187152,0.9201135884645557,0.8258814869684082,0.8260549290950706,0.0,0.7506930352555272,0.6982340125122038,20260529
fibonacci,0.4,wrong,0.9540233784969718,0.5314366015160096,0.5314366015160096,0.6652936614159399,0.5314366015160096,0.5314001703233964,0.0,0.6160270512182996,0.5808833600204539,20260529
generic_ternary,0.4,wrong,0.9294908127356065,0.814543394477767,0.20617450716478333,0.916699506815171,0.814543394477767,0.8146025177734896,0.0,0.7416098303773564,0.6888036975166602,20260529
fibonacci,0.2,wrong,0.9691761185340477,0.6066620684195797,0.6066620684195797,0.7052534786819489,0.6066620684195797,0.60666003494416,0.0,0.6739532849605157,0.6439663485225056,20260530
generic_ternary,0.2,wrong,0.9466632564607669,0.8387997425026323,0.23199931452288658,0.9225194308761087,0.8387997425026323,0.8388312367601366,0.0,0.7619150584919445,0.7099711758201016,20260530
fibonacci,0.3,wrong,0.9600820361499085,0.5603535620848392,0.5603535620848392,0.6802789744885915,0.5603535620848392,0.5603294411422366,0.0,0.6382844506170255,0.6051081246149125,20260530
generic_ternary,0.3,wrong,0.9356773416893562,0.8238056682804346,0.21735786639321755,0.9190808484588611,0.8238056682804346,0.823873621503102,0.0,0.7495143026893003,0.6971570732215638,20260530
fibonacci,0.4,wrong,0.9540545341530245,0.5312308382343335,0.5312308382343335,0.665557372759818,0.5312308382343335,0.5312446312676892,0.0,0.6159466265518977,0.5807767758814798,20260530
generic_ternary,0.4,wrong,0.9287260815538255,0.815346819278231,0.20786862669202405,0.9168705140787422,0.815346819278231,0.8154274296008276,0.0,0.7421415886138849,0.6895285066866681,20260530
