sampler,seed,regime,friction,distribution_l1,repeat_rate,coverage,mean_surprise,max_duplicate_run
periodic_lattice,1618,bursty,0.3224013294596416,0.00722600469262509,0.20622568093385213,1.0,0.934588342969909,5
argmax,1618,bursty,0.8097424403252674,0.2297584173568148,0.9366314619232907,1.0,0.7257606799605856,23
phi_rotation,1618,drifting,0.23425260881140555,0.00928638774593285,0.0,1.0,0.9358140152565444,1
sqrt2_rotation,1618,drifting,0.23560105088613695,0.009445463256191625,0.0,1.0,0.9354838923577746,1
vdc_base2,1618,drifting,0.23538427836008954,0.01789126005646853,0.0,1.0,0.9334831136443573,1
prng,1618,drifting,0.35908319089693536,0.06353171725539847,0.17398554752640355,1.0,0.9361524729828837,7
phi_digits,1618,drifting,0.35755963219837145,0.07203119575377823,0.15730961645358532,1.0,0.9365602834290602,8
periodic_lattice,1618,drifting,0.3222204332498452,0.03348553947274627,0.19177320733740968,1.0,0.9315446353288893,3
argmax,1618,drifting,1.3518755937668507,1.404452496224756,0.9955530850472485,0.25,0.7136020126826375,220
phi_rotation,1618,inverted,0.22311371399748617,0.005879043600562753,0.07670928293496387,1.0,0.7680423892922283,2
sqrt2_rotation,1618,inverted,0.2097425353580779,0.006371308016877908,0.04113396331295164,1.0,0.7717352684582752,2
vdc_base2,1618,inverted,0.21502053029590068,0.009817158931082787,0.06614785992217899,1.0,0.7724718962501891,2
prng,1618,inverted,0.36121096947577247,0.054106891701827114,0.2873818788215675,1.0,0.7638909559892082,11
phi_digits,1618,inverted,0.368872793808008,0.059338959212376294,0.2812673707615342,1.0,0.7706051486446595,10
periodic_lattice,1618,inverted,0.5275892503821805,0.1842616033755274,0.4652584769316287,1.0,0.7506447063794399,4
argmax,1618,inverted,1.0264164894243857,0.02902953586497843,0.9866592551417455,1.0,0.3779519155782636,73
phi_rotation,2718,smooth,0.18914427219568244,0.015611977056957604,0.0,1.0,0.8310837392197153,1
sqrt2_rotation,2718,smooth,0.19250986026692274,0.014970908689412983,0.0,1.0,0.8313144579940154,1
vdc_base2,2718,smooth,0.20090174502326907,0.01797867361419729,0.03001667593107282,1.0,0.8345898915001335,2
prng,2718,smooth,0.33871461035102307,0.06218314565768271,0.20511395219566425,1.0,0.8269730128089852,5
phi_digits,2718,smooth,0.3493094405805288,0.05730942821810524,0.20622568093385213,1.0,0.818481393831902,6
periodic_lattice,2718,smooth,0.423018252587413,0.1583354504531775,0.36964980544747084,1.0,0.8328246382824751,3
argmax,2718,smooth,0.9946416284811583,0.30602390511522815,0.9794330183435241,0.875,0.602490783218526,62
phi_rotation,2718,balanced,0.24704729853944035,0.010481700729176868,0.0,1.0,0.9981415882037222,1
sqrt2_rotation,2718,balanced,0.24555719705994597,0.01062665572419784,0.0,1.0,0.998148858534852,1
vdc_base2,2718,balanced,0.2429736250352773,0.006800179703348161,0.0,1.0,0.9980819539763818,1
prng,2718,balanced,0.36899080221745706,0.08207773645782138,0.10672595886603668,1.0,0.9970874236949249,5
phi_digits,2718,balanced,0.37244371836080253,0.03949509111261562,0.11839911061700945,1.0,0.9977942787221582,5
periodic_lattice,2718,balanced,0.2515659005425704,0.00090999803736104,0.0,1.0,1.0017220863222913,1
argmax,2718,balanced,1.2213175087190864,0.1291367408830114,0.9733185102834908,1.0,0.9474832474552919,40
phi_rotation,2718,spiky,0.23638832842195762,0.0016455696202528763,0.31739855475264034,1.0,0.5523384624117552,4
sqrt2_rotation,2718,spiky,0.23953044963468678,0.007580872011250489,0.31072818232351307,1.0,0.5527965655176791,5
vdc_base2,2718,spiky,0.25134852662805884,0.007805907172994744,0.37298499166203447,1.0,0.5553621665044542,6
prng,2718,spiky,0.3527417820166925,0.03540084388185949,0.45969983324068925,1.0,0.5577560486995083,18
phi_digits,2718,spiky,0.36338091880914863,0.044289732770748394,0.4830461367426348,1.0,0.5295005412738396,19
periodic_lattice,2718,spiky,0.5339174367908095,0.23962025316455893,0.6070038910505836,1.0,0.5518340459096361,6
argmax,2718,spiky,0.7765586920265839,0.05407876230660835,0.9888827126181212,1.0,0.2011136766786703,89
phi_rotation,2718,bursty,0.2501316737168058,0.04618782561820893,0.013340744858254585,1.0,0.9385978671871557,2
sqrt2_rotation,2718,bursty,0.2424945286511577,0.015885014988723398,0.008893829905503057,1.0,0.9363396134155645,2
vdc_base2,2718,bursty,0.2520562792961,0.017145507715124395,0.01500833796553641,1.0,0.9404788319232046,3
prng,2718,bursty,0.3605218104820346,0.07846814016036038,0.1517509727626459,1.0,0.9358529550195499,5
phi_digits,2718,bursty,0.368508009402621,0.05965232342270925,0.16675931072818231,1.0,0.9360026181098017,9
periodic_lattice,2718,bursty,0.3199259757311767,0.011309406073111913,0.20344635908838243,1.0,0.9356112610861905,5
argmax,2718,bursty,0.821706322602205,0.23835046058101483,0.9355197331851028,1.0,0.7266629441510363,38
phi_rotation,2718,drifting,0.23492133159467868,0.009760835818063363,0.0011117287381878821,1.0,0.936566494322299,2
sqrt2_rotation,2718,drifting,0.23574107876112108,0.010408029730098342,0.0,1.0,0.937235014426708,1
vdc_base2,2718,drifting,0.23658585496019846,0.015835125767192107,0.0,1.0,0.9361857571699552,1
prng,2718,drifting,0.34474081906482884,0.05811325399188261,0.14452473596442467,1.0,0.9291535966720651,5
phi_digits,2718,drifting,0.3556920003868547,0.04944988414482117,0.15730961645358532,1.0,0.9335527533771592,5
periodic_lattice,2718,drifting,0.3223356483364702,0.03728244616483646,0.19066147859922178,1.0,0.932194208863227,3
argmax,2718,drifting,1.3514985654964453,1.4048046052392575,0.9955530850472485,0.25,0.7150120217147063,220
phi_rotation,2718,inverted,0.22305596173920142,0.007960618846695008,0.07281823235130629,1.0,0.7727385744795504,2
sqrt2_rotation,2718,inverted,0.21128213314948593,0.008565400843882173,0.042801556420233464,1.0,0.7718100707800244,2
vdc_base2,2718,inverted,0.21509780416460447,0.010309423347398525,0.06503613118399111,1.0,0.7739874230981301,2
prng,2718,inverted,0.35063869812208104,0.061406469760900625,0.27793218454697055,1.0,0.7710311717239972,10
phi_digits,2718,inverted,0.3563815670885438,0.05967651195499282,0.2868260144524736,1.0,0.7620436887966341,9
periodic_lattice,2718,inverted,0.5304578561621501,0.18907172995780597,0.4635908838243469,1.0,0.7571767633337568,4
argmax,2718,inverted,1.0264164894243857,0.02902953586497843,0.9866592551417455,1.0,0.3779519155782636,73
phi_rotation,3141,smooth,0.18968449020415,0.017894176806917392,0.0,1.0,0.8334424612120316,1
sqrt2_rotation,3141,smooth,0.19064562977484448,0.005765128610096322,0.0,1.0,0.8309548997752938,1
vdc_base2,3141,smooth,0.20045515516462356,0.009076474094034316,0.03446359088382435,1.0,0.8325046061390763,2
prng,3141,smooth,0.3421617353325546,0.04076060708756661,0.20622568093385213,1.0,0.831359266194913,5
phi_digits,3141,smooth,0.34637758617458847,0.05650737193408929,0.21678710394663703,1.0,0.8212190120425916,5
periodic_lattice,3141,smooth,0.4249284219683666,0.15368309235595462,0.3668704836020011,1.0,0.8346919964659933,3
argmax,3141,smooth,0.9954871545034868,0.29822201492134615,0.9788771539744302,0.875,0.604767463166803,62
phi_rotation,3141,balanced,0.2487969064429614,0.006723527549877484,0.0,1.0,0.9983133262750137,1
sqrt2_rotation,3141,balanced,0.24483787307150898,0.004575773004915018,0.0,1.0,0.9981300736158434,1
vdc_base2,3141,balanced,0.2422506158973755,0.007554017883369332,0.0,1.0,0.997913482448639,1
prng,3141,balanced,0.362132202583854,0.028356685922949987,0.12896053362979434,1.0,0.997289271365317,5
phi_digits,3141,balanced,0.36694539386183106,0.035306633396399015,0.12006670372429128,1.0,0.9982883735607357,5
periodic_lattice,3141,balanced,0.25154029499081165,0.0011617639339344121,0.0,1.0,1.0017251197828583,1
argmax,3141,balanced,1.220521353320408,0.12872155579148115,0.9727626459143969,1.0,0.9475128361928794,40
phi_rotation,3141,spiky,0.2398257357044702,0.0059493670886082844,0.3140633685380767,1.0,0.553002739864545,4
sqrt2_rotation,3141,spiky,0.2397542830846781,0.00983122362868831,0.3151750972762646,1.0,0.5544917147047985,4
vdc_base2,3141,spiky,0.2543536664686164,0.0057243319268661386,0.37687604224569204,1.0,0.5508037331593095,6
prng,3141,spiky,0.3592515310840357,0.027974683544306198,0.4558087826570317,1.0,0.5570341589934762,14
phi_digits,3141,spiky,0.358319175533757,0.03796061884669798,0.4741523068371317,1.0,0.5314131636648721,24
periodic_lattice,3141,spiky,0.5341360092436394,0.23482419127988485,0.6053362979433018,1.0,0.5544454013086034,6
argmax,3141,spiky,0.7765586920265839,0.05407876230660835,0.9888827126181212,1.0,0.2011136766786703,89
phi_rotation,3141,bursty,0.24173037184064447,0.026578700039818784,0.012229016120066704,1.0,0.9403273921840929,2
sqrt2_rotation,3141,bursty,0.24565715255880496,0.027493006829046845,0.009449694274596998,1.0,0.9376120402635383,2
vdc_base2,3141,bursty,0.2518797826587106,0.011937451273491245,0.01500833796553641,1.0,0.938478216575378,3
prng,3141,bursty,0.368657754978159,0.051384142126650934,0.1689827682045581,1.0,0.9355653221976521,9
phi_digits,3141,bursty,0.367004101282373,0.04282019623598805,0.1584213451917732,1.0,0.9400193374078525,6
periodic_lattice,3141,bursty,0.3208232558935234,0.008294362223132165,0.20511395219566425,1.0,0.9347379917023674,5
argmax,3141,bursty,0.8175790997764969,0.23947758673184033,0.934408004446915,1.0,0.7267326269033555,32
phi_rotation,3141,drifting,0.2332012213955302,0.008973582077533182,0.0,1.0,0.9341739109727941,1
sqrt2_rotation,3141,drifting,0.2357861677509845,0.0062165856874518005,0.0,1.0,0.9332920207395029,1
vdc_base2,3141,drifting,0.23556606697725466,0.008311101004163754,0.0,1.0,0.9311772258663109,1
prng,3141,drifting,0.36013318427517615,0.04216329021097297,0.16120066703724292,1.0,0.92838683860691,5
phi_digits,3141,drifting,0.3537968075490225,0.052170285436047986,0.1556420233463035,1.0,0.9367430144567681,5
periodic_lattice,3141,drifting,0.32065330005240844,0.03567415184298289,0.19510839355197332,1.0,0.9299829925416754,3
argmax,3141,drifting,1.353917154357962,1.4013175249279497,0.9955530850472485,0.25,0.7083615243314694,220
phi_rotation,3141,inverted,0.22504161669977996,0.010928270042194405,0.07226236798221233,1.0,0.7769973411619556,2
sqrt2_rotation,3141,inverted,0.2111058379578974,0.010182841068916731,0.04168982768204558,1.0,0.7736459425470195,2
vdc_base2,3141,inverted,0.21789518405094394,0.008101265822784975,0.06725958866036687,1.0,0.7743289036492408,2
prng,3141,inverted,0.35879964920824736,0.026976090014064175,0.2801556420233463,1.0,0.7817797240966058,9
phi_digits,3141,inverted,0.3529810692429981,0.05859353023909962,0.26459143968871596,1.0,0.7873816221322957,7
periodic_lattice,3141,inverted,0.5290685632252807,0.1942616033755273,0.4669260700389105,1.0,0.7518935549980197,4
argmax,3141,inverted,1.0264164894243857,0.02902953586497843,0.9866592551417455,1.0,0.3779519155782636,73
phi_rotation,4159,smooth,0.192913340336863,0.011158828579773426,0.0,1.0,0.8329377942588144,1
sqrt2_rotation,4159,smooth,0.19216090590578833,0.014249889433671711,0.0,1.0,0.8344786419691042,1
vdc_base2,4159,smooth,0.20243720595314724,0.015524920237392714,0.03501945525291829,1.0,0.8311720794858078,2
prng,4159,smooth,0.34616872897112966,0.042653261683181794,0.19566425792106726,1.0,0.8430092241159862,5
phi_digits,4159,smooth,0.35176749587404527,0.056141978178133524,0.22123401889938854,1.0,0.8224123101079436,5
periodic_lattice,4159,smooth,0.4232717635058135,0.14833040448869445,0.3640911617565314,1.0,0.8350274594309586,3
argmax,4159,smooth,0.9954842649109918,0.2990667301384999,0.9788771539744302,0.875,0.6046765216148399,62
phi_rotation,4159,balanced,0.24735304639182792,0.0033068021506422463,0.0,1.0,0.9982334949006112,1
sqrt2_rotation,4159,balanced,0.246700602704696,0.007647901738882273,0.0,1.0,0.9984090206371125,1
vdc_base2,4159,balanced,0.2427974031819838,0.0074932933921080525,0.0,1.0,0.9979832437910653,1
prng,4159,balanced,0.3700603067806583,0.08717913892813162,0.12340188993885493,1.0,0.9981987347737541,4
phi_digits,4159,balanced,0.3676343941551166,0.03530187164431123,0.12062256809338522,1.0,0.9982590791134195,5
periodic_lattice,4159,balanced,0.25154128625133343,0.0011586743008140665,0.0,1.0,1.0017249458971083,1
argmax,4159,balanced,1.2205194417802536,0.1287381994996814,0.9727626459143969,1.0,0.9475145665033732,40
phi_rotation,4159,spiky,0.2393367994191535,0.003473980309423086,0.31628682601445246,1.0,0.552876775485016,4
sqrt2_rotation,4159,spiky,0.24061618419028846,0.003516174402247038,0.31461923290717064,1.0,0.5523384624117552,4
vdc_base2,4159,spiky,0.24964007090762244,0.009437412095640557,0.36631461923290715,1.0,0.5542053303905957,6
prng,4159,spiky,0.36488725002117195,0.04351617440225139,0.48082267926625905,1.0,0.548891110768277,17
phi_digits,4159,spiky,0.3728618038773057,0.029873417721519482,0.48916064480266813,1.0,0.5287905094088576,16
periodic_lattice,4159,spiky,0.5343542659681098,0.24665260196905928,0.6058921623123957,1.0,0.5473100681196362,6
argmax,4159,spiky,0.7765586920265839,0.05407876230660835,0.9888827126181212,1.0,0.2011136766786703,89
phi_rotation,4159,bursty,0.2446871877362406,0.028786366178562284,0.01500833796553641,1.0,0.937759098882335,2
sqrt2_rotation,4159,bursty,0.24521474374612143,0.025032674777395986,0.008893829905503057,1.0,0.9381834400725019,2
vdc_base2,4159,bursty,0.2518043349434694,0.01364331284943135,0.01500833796553641,1.0,0.938541999840015,3
prng,4159,bursty,0.36178099222130955,0.05760489338106578,0.1528627015008338,1.0,0.9413982449552842,6
phi_digits,4159,bursty,0.3717627812721005,0.05200849921899564,0.17231795441912173,1.0,0.9267126137507135,6
periodic_lattice,4159,bursty,0.3215635579538222,0.012861806428852554,0.20511395219566425,1.0,0.9346943640610368,4
argmax,4159,bursty,0.8245162385529177,0.2367310235617764,0.9360755975541968,1.0,0.7250850839786507,35
phi_rotation,4159,drifting,0.2337192768601751,0.007242790550939307,0.0005558643690939411,1.0,0.9334092033374135,2
sqrt2_rotation,4159,drifting,0.2367015715245973,0.00907985101343621,0.0005558643690939411,1.0,0.935429182894664,2
vdc_base2,4159,drifting,0.23412651798053827,0.012984067584952644,0.0,1.0,0.9332133062926884,1
prng,4159,drifting,0.3644591522737878,0.053112298759048174,0.16008893829905502,1.0,0.9428336049874396,4
phi_digits,4159,drifting,0.349813641785536,0.05493588350159358,0.15008337965536409,1.0,0.9379139744996698,5
periodic_lattice,4159,drifting,0.3221659565734322,0.03224853022206446,0.19510839355197332,1.0,0.9319121231998234,3
argmax,4159,drifting,1.3538251420937522,1.4014976221478856,0.9955530850472485,0.25,0.7085556877465586,220
phi_rotation,4159,inverted,0.222804937821241,0.009212376933896121,0.07003891050583658,1.0,0.7739126207763809,2
sqrt2_rotation,4159,inverted,0.21177557928752272,0.009071729957806252,0.04168982768204558,1.0,0.7741581633736855,2
vdc_base2,4159,inverted,0.21556462445300853,0.017468354430380348,0.06559199555308505,1.0,0.7715645281827199,2
prng,4159,inverted,0.35588549745026243,0.07523206751054834,0.29294052251250696,1.0,0.7722263536528844,8
phi_digits,4159,inverted,0.3539864544957789,0.05967651195499324,0.2784880489160645,1.0,0.7645413860337937,9
periodic_lattice,4159,inverted,0.5269592229179952,0.1908016877637137,0.4635908838243469,1.0,0.7511569272061059,4
argmax,4159,inverted,1.0264164894243857,0.029029535864978542,0.9866592551417455,1.0,0.3779519155782636,73
