sampler,seed,regime,write_count,friction,distribution_l1,repeat_rate,coverage,mean_surprise,authority_flip_count
phi_write_only,2718,balanced,1272,2.6342326085392025,0.0110086163327162,0.0,1.0,0.9984761106622692,0
phi_reset_only,2718,balanced,1272,2.6319174192921286,0.024271658361436202,0.0,1.0,0.9983985744249543,0
prng_ternary,2718,balanced,1272,2.7001622073676583,0.07821322920981903,0.13060582218725414,1.0,0.9961678776978685,0
phi_ternary,2718,spiky,2119,4.550360303596972,0.29279394985693036,0.48111425873465535,1.0,0.7220553505955614,0
phi_always_advance,2718,spiky,2119,4.313168721484033,0.006248469244511182,0.3210576015108593,1.0,0.5522732886895834,0
phi_write_only,2718,spiky,2119,4.2923545158781335,0.008136152113784795,0.31444759206798867,1.0,0.5530127003174173,0
phi_reset_only,2718,spiky,2119,4.307413745057826,0.004707259813264586,0.311614730878187,1.0,0.5519911510267655,0
prng_ternary,2718,spiky,2119,4.3312808188348315,0.044193284388983775,0.4721435316336166,1.0,0.560056543991361,0
phi_ternary,2718,bursty,1320,2.666760541408869,0.5021010045375159,0.12357846853677028,1.0,0.964684182160786,0
phi_always_advance,2718,bursty,1320,2.7232153586625105,0.025649344182961067,0.045489006823351025,1.0,0.9269203698938788,0
phi_write_only,2718,bursty,1320,2.701819163330552,0.05291955938339121,0.02047005307050796,1.0,0.9298480296703302,0
phi_reset_only,2718,bursty,1320,2.7385630974807325,0.03579400889706706,0.04397270659590599,1.0,0.9261076034166165,0
prng_ternary,2718,bursty,1320,2.7891807506793524,0.05900716705326378,0.18574677786201668,1.0,0.9123256042985447,0
phi_ternary,2718,drifting,1553,3.264942113343961,0.485294585150365,0.3118556701030928,1.0,1.039145529258212,0
phi_always_advance,2718,drifting,1553,3.1950868522358697,0.019849484913981294,0.01804123711340206,1.0,0.9216177985173994,0
phi_write_only,2718,drifting,1553,3.18669008664094,0.010824776022448288,0.0,1.0,0.9241171654791964,0
phi_reset_only,2718,drifting,1553,3.19373971904765,0.028014699400374585,0.017396907216494846,1.0,0.9227212123048448,0
prng_ternary,2718,drifting,1553,3.246174138265306,0.04066427039722342,0.18234536082474226,1.0,0.9188525318749386,0
phi_ternary,2718,inverted,2119,4.48429477149507,0.3448008076415356,0.35410764872521244,1.0,0.800780084454155,0
phi_always_advance,2718,inverted,2119,4.303645350944558,0.006989205560305009,0.07507082152974505,1.0,0.7707036526065767,0
phi_write_only,2718,inverted,2119,4.281570764180973,0.003667839499166492,0.07412653446647781,1.0,0.7720545693151386,0
phi_reset_only,2718,inverted,2119,4.300658910208827,0.0061409430051168334,0.07223796033994334,1.0,0.7742577516387527,0
prng_ternary,2718,inverted,2119,4.30036586134941,0.03772976266569429,0.2776203966005666,1.0,0.7719648002313677,0
phi_ternary,3141,smooth,2119,4.731431753154724,0.5455889041611421,0.5821529745042493,1.0,0.8634429638998727,0
phi_always_advance,3141,smooth,2119,4.274378245618421,0.01513390257059384,0.0,1.0,0.8360058212747614,0
phi_write_only,3141,smooth,2119,4.227411195422246,0.013858990495826451,0.0,1.0,0.8337298093466736,0
phi_reset_only,3141,smooth,2119,4.281851661570297,0.01448108681382329,0.0,1.0,0.8345263121827909,0
prng_ternary,3141,smooth,2119,4.31968111391926,0.09412594899138901,0.2129367327667611,1.0,0.8320704367422529,0
phi_ternary,3141,balanced,1272,2.3513796646155054,1.1629822244996715,0.0007867820613690008,0.875,1.0011393978728516,0
phi_always_advance,3141,balanced,1272,2.6265533244127166,0.014262307936831822,0.0015735641227380016,1.0,0.9980911657253244,0
phi_write_only,3141,balanced,1272,2.626528784010546,0.011552272479001105,0.0,1.0,0.998284659727253,0
phi_reset_only,3141,balanced,1272,2.631445965765624,0.01659458095064055,0.0,1.0,0.9982110881425235,0
prng_ternary,3141,balanced,1272,2.6851186197962895,0.05866875561143374,0.13768686073957515,1.0,0.99784683319785,0
phi_ternary,3141,spiky,2119,4.347475751475795,0.31355846141898963,0.4976392823418319,1.0,0.7032005915023115,0
phi_always_advance,3141,spiky,2119,4.28592915178537,0.01037030842109847,0.3149197355996223,1.0,0.5543845222124663,0
phi_write_only,3141,spiky,2119,4.306064081496766,0.006391837563693659,0.31633616619452315,1.0,0.5545596585146647,0
phi_reset_only,3141,spiky,2119,4.3023003468569705,0.006594942682538962,0.31775259678942397,1.0,0.5514950106427092,0
prng_ternary,3141,spiky,2119,4.330546493047192,0.027574506723375886,0.4697828139754485,1.0,0.5561843495499922,0
phi_ternary,3141,bursty,1320,2.8876245275712527,0.42880742077342765,0.1599696739954511,1.0,0.9692532132402918,0
phi_always_advance,3141,bursty,1320,2.725527666713994,0.0188029944679384,0.04624715693707354,1.0,0.9274778284146761,0
phi_write_only,3141,bursty,1320,2.7031144131009937,0.03155313847848722,0.021986353297952996,1.0,0.9221768679408532,0
phi_reset_only,3141,bursty,1320,2.7161798800703933,0.013868935718552855,0.03866565579984837,1.0,0.9253620061367827,0
prng_ternary,3141,bursty,1320,2.7632240669198604,0.08814682427431743,0.17210007581501138,1.0,0.9246888609625271,0
phi_ternary,3141,drifting,1552,3.2673768635872587,0.5072484725951552,0.33913604126370084,1.0,1.0343193710295833,0
phi_always_advance,3141,drifting,1552,3.1771183125124107,0.012191598066138648,0.01160541586073501,1.0,0.9256556087583008,0
phi_write_only,3141,drifting,1552,3.154884909339776,0.014678800180138743,0.0006447453255963894,1.0,0.9217778163761651,0
phi_reset_only,3141,drifting,1552,3.144902607001064,0.013674916808201473,0.015473887814313346,1.0,0.9232898890801324,0
prng_ternary,3141,drifting,1552,3.208944635861255,0.02971688215474219,0.17923920051579625,1.0,0.9193708405676534,0
phi_ternary,3141,inverted,2119,4.4485508230517015,0.3408701262238629,0.37440982058545796,1.0,0.8052320366622358,0
phi_always_advance,3141,inverted,2119,4.302451280860347,0.008817151629916947,0.07412653446647781,1.0,0.7709937257505122,0
phi_write_only,3141,inverted,2119,4.288748268938012,0.00268815598472745,0.07318224740321058,1.0,0.7723446424590741,0
phi_reset_only,3141,inverted,2119,4.303366352924406,0.00612899564518854,0.07412653446647781,1.0,0.7757357511025281,0
prng_ternary,3141,inverted,2119,4.369086000517356,0.06645121594256125,0.28611898016997167,1.0,0.7670860121967941,0
phi_ternary,4159,smooth,2119,4.735711984879199,0.5591112880319073,0.5930122757318225,1.0,0.8552375510114665,0
phi_always_advance,4159,smooth,2119,4.274512166429728,0.015235596275075536,0.00047214353163361664,1.0,0.8353387753069367,0
phi_write_only,4159,smooth,2119,4.283608629925806,0.02106579760308379,0.0,1.0,0.8339046731601732,0
phi_reset_only,4159,smooth,2119,4.23651289588842,0.00879967789470143,0.0,1.0,0.8340908270949282,0
prng_ternary,4159,smooth,2119,4.057954963845404,0.037894821658061136,0.20113314447592068,1.0,0.8363602394095259,0
phi_ternary,4159,balanced,1272,1.8291086041923652,1.158278298262161,0.0023603461841070024,0.875,1.0009908734507977,0
phi_always_advance,4159,balanced,1272,2.6250474505521724,0.01120430891889175,0.0023603461841070024,1.0,0.9984084752398293,0
phi_write_only,4159,balanced,1272,2.623362195410148,0.009561345316782613,0.0,1.0,0.998166151264135,0
phi_reset_only,4159,balanced,1272,2.630065321523703,0.021065256892046177,0.0,1.0,0.9984747252631578,0
prng_ternary,4159,balanced,1272,2.661800061689046,0.05863268195992817,0.12588512981904013,1.0,1.0002756720657504,0
phi_ternary,4159,spiky,2119,4.372613213753981,0.27009396598586555,0.4693106704438149,1.0,0.7116551234903439,0
phi_always_advance,4159,spiky,2119,4.290224788274116,0.005830311646883121,0.31869688385269124,1.0,0.5523414236311626,0
phi_write_only,4159,spiky,2119,4.313591303103827,0.006965310840436265,0.3210576015108593,1.0,0.5523414236311626,0
phi_reset_only,4159,spiky,2119,4.311862038656691,0.0035603132597758352,0.31444759206798867,1.0,0.554627793456244,0
prng_ternary,4159,spiky,2119,4.370758701792297,0.027956822241204285,0.48630783758262514,1.0,0.546513936176108,0
phi_ternary,4159,bursty,1320,2.896785395262184,0.4669217901781752,0.1372251705837756,1.0,0.9680320578370966,0
phi_always_advance,4159,bursty,1320,2.7303860364176153,0.028920068383036568,0.04473085670962851,1.0,0.9219313974256528,0
phi_write_only,4159,bursty,1320,2.695782043143802,0.01801486343679136,0.02350265352539803,1.0,0.9228262629284402,0
phi_reset_only,4159,bursty,1320,2.72098567621728,0.022768180209378763,0.043214556482183475,1.0,0.9281576475118565,0
prng_ternary,4159,bursty,1320,2.726722569751554,0.07475189713970473,0.16148597422289612,1.0,0.9292067714365632,0
phi_ternary,4159,drifting,1550,3.2749897980778675,0.5038506205221673,0.328599096191091,1.0,1.0417670931768268,0
phi_always_advance,4159,drifting,1550,3.157104765183716,0.010929920080103905,0.014202711426726921,1.0,0.9250459810923741,0
phi_write_only,4159,drifting,1550,3.1372705937268424,0.018471352198481228,0.0006455777921239509,1.0,0.923635361140859,0
phi_reset_only,4159,drifting,1550,3.169890174219192,0.01808508174971704,0.016785022595222725,1.0,0.9236532002578919,0
prng_ternary,4159,drifting,1550,3.2116790464908402,0.03653586832751353,0.17559715945771465,1.0,0.9180909502356766,0
phi_ternary,4159,inverted,2119,4.502261952390365,0.3551711160626275,0.37346553352219075,1.0,0.8022304501738323,0
phi_always_advance,4159,inverted,2119,4.29410415422615,0.010812360738581356,0.07554296506137866,1.0,0.7717009547935965,0
phi_write_only,4159,inverted,2119,4.2817464484677705,0.0043368916553658265,0.07365439093484419,1.0,0.7713473402720543,0
phi_reset_only,4159,inverted,2119,4.291374927603634,0.004157681256383897,0.07129367327667611,1.0,0.7757537049192823,0
prng_ternary,4159,inverted,2119,4.298280836976257,0.03642750043308901,0.2804532577903683,1.0,0.7701690938795585,0
