sampler,alpha_mean,alpha_std,friction_mean,friction_std,distribution_l1_mean,distribution_l1_std,repeat_rate_mean,repeat_rate_std,coverage_mean,coverage_std,mean_surprise_mean,mean_surprise_std,max_duplicate_run_mean,max_duplicate_run_std
random_alpha_35,0.7791596513360998,0.0,0.25698802722907604,0.018881005551603096,0.01299905319545402,0.005298152971705329,0.144439232853867,0.1529190955913604,1.0,0.0,0.8389538614341542,0.1474747820376569,1564.2083333333333,21.07324363315297
random_alpha_23,0.703782494508404,0.0,0.2583933015857092,0.0237447172327429,0.011781934280773586,0.005608054340845206,0.09466854283927455,0.13249837180379267,1.0,0.0,0.8373354655222256,0.1496643305240321,1541.3333333333333,62.38834470921276
plastic_inv,0.7548776662466926,0.0,0.26391438308414406,0.025070219651722753,0.020553214147313783,0.015901665193943888,0.1221857410881801,0.14598030581677576,1.0,0.0,0.8385256012037866,0.14851191262051613,1566.2916666666667,9.162783268320943
random_alpha_18,0.4499933106547786,0.0,0.26811853716419615,0.04149466886215448,0.062223971651544065,0.03981453709866217,0.05513862830936001,0.11705947094507828,1.0,0.0,0.8388642359116968,0.14803129334114234,1485.5833333333333,151.22497497290436
random_alpha_17,0.7954782062976449,0.0,0.26925328515367947,0.022687532877147462,0.01884084901594219,0.015226928309857023,0.1627579737335835,0.15916271855230954,1.0,0.0,0.8377177521473915,0.14878119111420335,1564.9583333333333,14.532948676102253
random_alpha_02,0.5073240350060689,0.0,0.2729940071517161,0.06254733081824922,0.023198063796818654,0.013478200716630077,0.05373149885345008,0.1200215505866719,1.0,0.0,0.8370172570143799,0.15037490069743825,1545.5416666666667,14.029668464444276
random_alpha_08,0.21083043298876492,0.0,0.2779242750130722,0.033324705092553204,0.011118294935430562,0.00679816604478566,0.15553992078382323,0.1566326858040366,1.0,0.0,0.8370504725363568,0.14844413485325575,1555.5416666666667,38.61236758547131
random_alpha_10,0.5102104674919723,0.0,0.2787119210071768,0.032367771390322174,0.03235808793155608,0.016661023041118418,0.052897644361059,0.11752633633860649,1.0,0.0,0.8386244434850875,0.14812995816006272,1558.625,12.047864610239719
random_alpha_29,0.8277090371043171,0.0,0.27957236767125027,0.031077134502400704,0.016501568628328318,0.007574990400710494,0.20335626433187406,0.17362779864347458,1.0,0.0,0.8395415201992331,0.1477174863591453,1552.875,38.742001862750115
random_alpha_15,0.16251413933187214,0.0,0.2817070272139214,0.02456100337685541,0.012648798124394588,0.007250833189853699,0.22081509276631228,0.17733304432013922,1.0,0.0,0.8392313037993638,0.14723607174628014,1566.625,13.921842849757116
random_alpha_28,0.8444828589470758,0.0,0.285446777084936,0.025926423225801798,0.0136754926034919,0.007538648365730401,0.23269751928288515,0.18159816345289798,1.0,0.0,0.8393607842548488,0.14737285140892384,1573.125,11.948892905481522
random_alpha_07,0.17859251845220295,0.0,0.2886357423393639,0.03531425334671176,0.01218123392844863,0.005734375372185682,0.19512195121951217,0.17005735493855095,1.0,0.0,0.8385702748142418,0.14744002532049014,1534.0833333333333,71.75009678661687
random_alpha_36,0.8658936294648528,0.0,0.29899236689013603,0.023051323485521608,0.012212816552149043,0.006750145570933221,0.27801229935376276,0.18772198272280718,1.0,0.0,0.8387738513566898,0.14867330853344732,1566.5416666666667,20.790581133986823
random_alpha_05,0.5385293276832177,0.0,0.3004767955446974,0.053823807975766275,0.036327708521862116,0.016225605037275326,0.052428601209089015,0.11595684802533414,1.0,0.0,0.8400744844278204,0.14757939915697535,1432.5416666666667,183.25846482647276
random_alpha_01,0.8706221217309152,0.0,0.3009274264644605,0.02460959772222039,0.01733944227618392,0.014318824008154388,0.2917187825724411,0.18593742620710954,1.0,0.0,0.8384191080580766,0.14859547771710022,1571.0,17.363755354185336
random_alpha_00,0.3289746922510058,0.0,0.30292333853828673,0.04894143612568939,0.019272132768755126,0.013299941205489106,0.07947675630602459,0.11949506691527324,1.0,0.0,0.8395972452736774,0.14788558446128294,1540.7083333333333,14.048959530473738
random_alpha_13,0.4932132241988148,0.0,0.3033091173952635,0.04218969927180717,0.023981940334202683,0.012817767476692167,0.052194079633104025,0.11566645678868206,1.0,0.0,0.8330667944910027,0.14333051420579707,1542.5833333333333,13.595086939364856
rational_5_13,0.38461538461538464,0.0,0.3065904613754024,0.05704858103790863,0.12030697221479487,0.05999703267780228,0.06728163435480508,0.11463403782584174,1.0,0.0,0.8388750119635652,0.14813186652510174,1430.125,168.79951434073106
random_alpha_24,0.11437494840243285,0.0,0.3229842695543755,0.023337686838037535,0.014267649360804565,0.006877851543403372,0.3403950385657703,0.1730202999499595,1.0,0.0,0.8387546404537966,0.1480052837823201,1572.2083333333333,20.722329274373465
random_alpha_09,0.10290597373653937,0.0,0.33461761830964204,0.015877503136237918,0.013333924901150923,0.005199828527213538,0.3866218469877007,0.15238644284489403,1.0,0.0,0.838419276663363,0.1477751684256959,1575.75,13.78782675647858
pi_minus_3,0.14159265358979312,0.0,0.3407445550264821,0.047884208114594366,0.03755532338154245,0.03703482262035093,0.26198665832812174,0.18717095800445957,1.0,0.0,0.8386163845114053,0.14757612865236713,1529.125,50.986364598782686
rational_3_8,0.375,0.0,0.34774031274339695,0.07417328903913364,0.1526996264712579,0.07627710387547422,0.06835001042318116,0.11292209298655236,1.0,0.0,0.8384586069102111,0.1461234871968772,1407.5833333333333,183.27300143653335
random_alpha_04,0.07531716068405585,0.0,0.3760664440757689,0.010727845583280549,0.0186982453848294,0.009849928014992638,0.5080779653950386,0.10034859126110678,1.0,0.0,0.839015472530677,0.14777694274568465,1571.25,12.333051798588485
rational_1_8,0.125,0.0,0.4202029475767605,0.09737939229231488,0.15094533842427402,0.0753991782624435,0.3122263914946842,0.17809427953010112,1.0,0.0,0.8377938447951103,0.1459836864647093,1407.2083333333333,183.05622523482293
random_alpha_39,0.05850981518093675,0.0,0.4209369647751824,0.013785295657152212,0.014363866375763734,0.005868277414893978,0.5896914738378153,0.0686616130962692,1.0,0.0,0.8396890673127806,0.14693663514975533,1546.625,48.32598722909514
random_alpha_38,0.9333462557912858,0.0,0.4405127123857786,0.03576487328500326,0.0733521393814202,0.039604871111613295,0.5514383989993746,0.08404456965725347,1.0,0.0,0.8384288875458649,0.14805325202299519,1448.0,148.19356711184642
