pack,scenario,helper_kind,noise_level,accuracy
all_axes,gaussian_mix_0.60,gaussian_mix,0.6,0.7332859174964438
all_axes,permute_mix_0.00,permute_mix,0.0,0.8045602605863192
all_axes,permute_mix_0.15,permute_mix,0.15,0.819583931133429
all_axes,permute_mix_0.30,permute_mix,0.3,0.8421052631578947
all_axes,permute_mix_0.45,permute_mix,0.45,0.6892634664712349
all_axes,permute_mix_0.60,permute_mix,0.6,0.7840459935321595
all_axes,uniform_mix_0.00,uniform_mix,0.0,0.830028328611898
all_axes,uniform_mix_0.15,uniform_mix,0.15,0.8317587209302325
all_axes,uniform_mix_0.30,uniform_mix,0.3,0.9474624731951394
all_axes,uniform_mix_0.45,uniform_mix,0.45,0.9541218637992831
all_axes,uniform_mix_0.60,uniform_mix,0.6,0.9578163771712159
