flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,phase_bind_gain,phase_bind_threshold,window_levels,window_blend_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,13,0.55,0.08,3,1.2,0.08,0.04,0.08,0.42,1,0.08,0.36,0.9587378640776699,0.48946716232961585,0.002258610954263128,0.08639186900056466,0.8637951105937136,0.3626309662398137,0.8637951105937136,0.05529685681024447,0.0,0.1362048894062864,3.45703125,0.576171875,0.0,0.11462064474112667,0.48180549927211647,0.7935297859736063
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,13,0.72,0.08,3,1.2,0.08,0.08,0.08,0.18,1,0.08,0.36,0.9538834951456311,0.48819875776397514,0.002258610954263128,0.08865047995482778,0.9076655052264808,0.3780487804878049,0.9076655052264808,0.0545876887340302,0.0,0.09233449477351917,3.45703125,0.576171875,0.0,0.11234125691957017,0.4829970748081087,0.7856061124891038
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.14,8,0.55,0.08,5,1.2,0.08,0.08,0.08,0.42,3,0.14,0.24,0.9288389513108615,0.4815533980582524,0.002258610954263128,0.12535290796160362,0.8685258964143426,0.37108708025042686,0.8685258964143426,0.08195788275469551,0.0,0.13147410358565736,5.76171875,0.576171875,0.5485026041666666,0.11462064474112667,0.45527696239427395,0.7947509557034932
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.2,13,0.55,0.14,5,1.2,0.08,0.04,0.08,0.18,2,0.08,0.36,0.8809234507897934,0.46834625322997414,0.002258610954263128,0.12365894974590627,0.8981110475100171,0.38179736691471095,0.8981110475100171,0.04751001717229536,0.0,0.10188895248998282,5.76171875,0.576171875,0.5475260416666666,0.10420058612829697,0.43144915473656,0.7899181999168913
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.08,8,0.72,0.08,5,1.2,0.14,0.08,0.08,0.3,3,0.14,0.24,0.9402985074626866,0.4846153846153846,0.002258610954263128,0.11688311688311688,0.9086783891094725,0.554736245036869,0.9086783891094725,0.07770845150311968,0.0,0.09132161089052751,5.76171875,0.576171875,0.5192057291666666,0.11885379355258874,0.4536695327636414,0.7910120111166801
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.08,13,0.55,0.08,3,1.2,0.08,0.08,0.08,0.18,1,0.14,0.24,0.9563046192259675,0.48883216336949586,0.002258610954263128,0.11293054771315642,0.8976691301876066,0.5105173393973849,0.8976691301876066,0.08072768618533258,0.0,0.10233086981239341,3.45703125,0.576171875,0.0,0.1103874959296646,0.4897709359868373,0.7797338197268517
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.14,8,0.72,0.14,5,1.2,0.08,0.04,0.08,0.42,3,0.14,0.36,0.9058402860548271,0.47529706066291433,0.002258610954263128,0.09486166007905138,0.8615995462280204,0.5326148610323312,0.8615995462280204,0.039137833238797506,0.0,0.13840045377197957,5.76171875,0.576171875,0.517578125,0.10973624226636275,0.4636468608275818,0.8078917752686388
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.08,8,0.72,0.14,3,1.8,0.08,0.04,0.08,0.18,1,0.14,0.36,0.9349397590361446,0.48318804483188044,0.002258610954263128,0.09090909090909091,0.8502331002331003,0.3560606060606061,0.8502331002331003,0.04836829836829837,0.0,0.14976689976689977,3.45703125,0.576171875,0.0,0.11429501790947574,0.48317314878913,0.7943541300421004
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.14,8,0.55,0.08,5,1.2,0.08,0.04,0.08,0.42,3,0.14,0.36,0.9261025029797377,0.4808168316831683,0.002258610954263128,0.08526256352343309,0.7870159453302962,0.3428246013667426,0.7870159453302962,0.0387243735763098,0.0,0.21298405466970388,5.76171875,0.576171875,0.5491536458333334,0.11787691305763595,0.460698872071285,0.8229858630552185
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.2,8,0.55,0.14,5,1.8,0.14,0.04,0.14,0.18,3,0.14,0.24,0.8911651728553137,0.4712254570074475,0.002258610954263128,0.1637492941840768,0.8514908256880734,0.33543577981651373,0.8514908256880734,0.09288990825688073,0.0,0.14850917431192662,5.76171875,0.576171875,0.544921875,0.10941061543471182,0.42021789137323073,0.7808155061339057
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.72,0.08,3,1.2,0.08,0.04,0.08,0.3,2,0.08,0.24,0.9527950310559006,0.48791348600508905,0.002258610954263128,0.1101072840203275,0.875,0.5085227272727273,0.875,0.07670454545454546,0.0,0.125,3.45703125,0.576171875,0.5289713541666666,0.11136437642461738,0.49113369645430194,0.8045870434578776
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.72,0.14,3,1.8,0.14,0.04,0.14,0.42,2,0.14,0.24,0.9217391304347826,0.4796380090497738,0.002258610954263128,0.12422360248447205,0.7842914058053501,0.43141718838929993,0.7842914058053501,0.07512805919180421,0.0,0.21570859419464997,3.45703125,0.576171875,0.5208333333333334,0.11103874959296646,0.4894508934884899,0.8151137104838475
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.72,0.14,5,1.2,0.08,0.04,0.14,0.18,2,0.08,0.36,0.9277251184834123,0.4812538414259373,0.002258610954263128,0.07905138339920949,0.8604651162790697,0.5382870107770845,0.8604651162790697,0.032898468519568916,0.0,0.13953488372093023,5.76171875,0.576171875,0.5234375,0.11722565939433409,0.4606295366516411,0.8134863750411072
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,8,0.55,0.14,3,1.8,0.14,0.04,0.08,0.3,1,0.08,0.24,0.890818858560794,0.47112860892388453,0.002258610954263128,0.13721061547148503,0.8496583143507973,0.46981776765375854,0.8496583143507973,0.0734624145785877,0.0,0.15034168564920272,3.45703125,0.576171875,0.0,0.10647997394985347,0.49267400300637254,0.7796503444883888
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,8,0.72,0.08,5,1.8,0.14,0.08,0.08,0.18,2,0.08,0.24,0.881979695431472,0.4686446392447741,0.002258610954263128,0.1603613777526821,0.8642816581487791,0.5127768313458262,0.8642816581487791,0.09085746734809767,0.0,0.1357183418512209,5.76171875,0.576171875,0.5133463541666666,0.10680560078150439,0.42130964213737776,0.7796334804096182
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,8,0.72,0.08,5,1.8,0.14,0.08,0.08,0.3,3,0.14,0.24,0.8807106598984772,0.4682860998650472,0.002258610954263128,0.16092603049124787,0.8648495173197047,0.5133446905167518,0.8648495173197047,0.09085746734809767,0.0,0.13515048268029528,5.76171875,0.576171875,0.5126953125,0.10647997394985347,0.42124207856048,0.7793107650507468
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.2,8,0.55,0.08,5,1.2,0.14,0.04,0.14,0.18,1,0.14,0.24,0.8628205128205129,0.4631796283551273,0.002258610954263128,0.17730095990965555,0.9243119266055045,0.3704128440366973,0.9243119266055045,0.09977064220183486,0.14220183486238533,0.07568807339449542,5.76171875,0.576171875,0.0,0.10094431781178768,0.4514869766488191,0.7188164091737821
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,8,0.55,0.08,3,1.8,0.08,0.08,0.14,0.42,2,0.08,0.36,0.9506781750924784,0.48735777496839444,0.002258610954263128,0.10446075663466968,0.8999431495167709,0.5287094940306992,0.8999431495167709,0.06935758953951109,0.14326321773735076,0.10005685048322911,3.45703125,0.576171875,0.5423177083333334,0.10941061543471182,0.4835840263921507,0.7727745348633355
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,8,0.72,0.08,3,1.8,0.08,0.08,0.14,0.42,1,0.14,0.36,0.8925925925925926,0.47162426614481406,0.002258610954263128,0.132128740824393,0.9014806378132119,0.5108200455580866,0.9014806378132119,0.0746013667425968,0.1417995444191344,0.09851936218678815,3.45703125,0.576171875,0.0,0.10322370563334418,0.4894132432570648,0.7419517215552321
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,8,0.72,0.14,5,1.8,0.14,0.08,0.14,0.42,1,0.08,0.24,0.9034307496823379,0.47463284379172227,0.002258610954263128,0.15189158667419536,0.8853575482406356,0.5278093076049943,0.8853575482406356,0.09137343927355278,0.14301929625425652,0.11464245175936436,5.76171875,0.576171875,0.0,0.10680560078150439,0.4520343725317171,0.7352327490027243
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,13,0.72,0.08,3,1.2,0.14,0.04,0.14,0.42,3,0.14,0.24,0.883183568677792,0.46898432174505794,0.002258610954263128,0.16939582156973462,0.9194285714285715,0.484,0.9194285714285715,0.10857142857142857,0.1422857142857143,0.08057142857142857,3.45703125,0.576171875,0.5185546875,0.09215239335721263,0.4969112817956104,0.7466608549418527
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,8,0.55,0.08,5,1.2,0.14,0.08,0.14,0.3,1,0.14,0.24,0.865211810012837,0.4638678596008259,0.002258610954263128,0.17730095990965555,0.9233390119250426,0.5224304372515616,0.9233390119250426,0.09937535491198182,0.14253265190232822,0.07666098807495741,5.76171875,0.576171875,0.0,0.10192119830674047,0.42134784580801754,0.7152231511783715
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,8,0.55,0.14,3,1.8,0.14,0.08,0.14,0.18,2,0.14,0.24,0.835509138381201,0.45519203413940257,0.002258610954263128,0.20383963862224733,0.9231210556511761,0.4704532415375789,0.9231210556511761,0.11244979919678715,0.1399885255306942,0.07687894434882386,3.45703125,0.576171875,0.5319010416666666,0.08401172256593943,0.49479919496166,0.7365821325676467
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,13,0.55,0.08,3,1.8,0.08,0.08,0.14,0.42,3,0.08,0.36,0.8666666666666667,0.4642857142857143,0.002258610954263128,0.15979672501411632,0.9115296803652968,0.4977168949771689,0.9115296803652968,0.08447488584474885,0.1421232876712329,0.0884703196347032,3.45703125,0.576171875,0.5475260416666666,0.09540866167372192,0.49018829609757375,0.7524196000416635
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.08,8,0.55,0.08,3,1.8,0.14,0.08,0.08,0.42,2,0.08,0.36,0.9333333333333333,0.4827586206896552,0.002258610954263128,0.09712027103331451,0.8671328671328671,0.36072261072261075,0.8671328671328671,0.053613053613053616,0.0,0.13286713286713286,3.45703125,0.576171875,0.5436197916666666,0.11299251058287203,0.4843452854947172,0.8095559457949357
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.08,13,0.72,0.14,5,1.2,0.08,0.08,0.14,0.18,2,0.14,0.24,0.9306071871127634,0.4820282413350449,0.002258610954263128,0.11801242236024845,0.8945868945868946,0.38803418803418804,0.8945868945868946,0.07464387464387465,0.0,0.10541310541310542,5.76171875,0.576171875,0.51171875,0.11657440573103224,0.4538418653461934,0.7928693497197058
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,13,0.72,0.08,3,1.8,0.08,0.04,0.14,0.18,3,0.14,0.24,0.8872366790582404,0.4701247537754432,0.002258610954263128,0.13777526821005082,0.9168632075471698,0.3584905660377358,0.9168632075471698,0.08372641509433962,0.0,0.08313679245283019,3.45703125,0.576171875,0.5387369791666666,0.1045262129599479,0.49186844097318805,0.7840073939021402
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.14,13,0.55,0.08,3,1.8,0.14,0.04,0.08,0.42,1,0.14,0.24,0.8822800495662949,0.4687294272547729,0.002258610954263128,0.14003387916431395,0.8656801365964713,0.4723961297666477,0.8656801365964713,0.07911212293682413,0.0,0.13431986340352875,3.45703125,0.576171875,0.0,0.10517746662324975,0.4925837036308399,0.7735573093673405
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,8,0.55,0.08,3,1.8,0.08,0.08,0.14,0.3,3,0.14,0.24,0.8701134930643127,0.4652730950775455,0.002258610954263128,0.1603613777526821,0.90997150997151,0.48034188034188036,0.90997150997151,0.08660968660968661,0.0,0.09002849002849003,3.45703125,0.576171875,0.5348307291666666,0.10192119830674047,0.49262940309601155,0.7812520491064991
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,13,0.55,0.08,3,1.8,0.14,0.04,0.08,0.42,3,0.14,0.36,0.8304668304668305,0.45369127516778524,0.002258610954263128,0.15640880858272163,0.8752860411899314,0.4851258581235698,0.8752860411899314,0.06121281464530892,0.0,0.12471395881006865,3.45703125,0.576171875,0.5494791666666666,0.09671116900032563,0.4930584456597511,0.789106730646245
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,8,0.55,0.14,5,1.8,0.08,0.08,0.08,0.18,2,0.08,0.36,0.9490521327014217,0.4869300911854103,0.002258610954263128,0.06888763410502541,0.8537279453614115,0.3636881047239613,0.8537279453614115,0.033010813887307915,0.0,0.1462720546385885,5.76171875,0.576171875,0.5563151041666666,0.11950504721589059,0.45946044064271696,0.8180724473110241
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,13,0.55,0.14,3,1.2,0.08,0.08,0.14,0.18,1,0.08,0.24,0.929192546583851,0.4816484224082421,0.002258610954263128,0.12083568605307736,0.8499413833528722,0.3440797186400938,0.8499413833528722,0.07913247362250879,0.0,0.15005861664712777,3.45703125,0.576171875,0.0,0.10843373493975904,0.49169477674726114,0.7834666127881242
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,13,0.72,0.14,5,1.2,0.14,0.08,0.14,0.18,3,0.14,0.24,0.9327521793275217,0.48260309278350516,0.002258610954263128,0.12140033879164314,0.8628343767785999,0.3682413204325555,0.8628343767785999,0.07740466704610131,0.0,0.1371656232214001,5.76171875,0.576171875,0.5123697916666666,0.11690003256268316,0.4535123537056529,0.7976668913453724
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,13,0.72,0.08,5,1.8,0.08,0.04,0.08,0.18,2,0.08,0.24,0.9415422885572139,0.4849455477258168,0.002258610954263128,0.1163184641445511,0.8737201365187713,0.37542662116040953,0.8737201365187713,0.080773606370876,0.0,0.12627986348122866,5.76171875,0.576171875,0.5361328125,0.11690003256268316,0.45424937703456314,0.7962966441281818
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,8,0.72,0.14,3,1.8,0.08,0.08,0.14,0.3,1,0.14,0.36,0.8696711327649208,0.46514657980456026,0.002258610954263128,0.13099943534726144,0.8524007113218731,0.33491404860699464,0.8524007113218731,0.056312981624184945,0.0,0.14759928867812686,3.45703125,0.576171875,0.0,0.10322370563334418,0.48753991041170874,0.7789896052119852
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,13,0.72,0.14,3,1.8,0.08,0.08,0.08,0.42,1,0.08,0.24,0.8904109589041096,0.47101449275362317,0.002258610954263128,0.14059853190287974,0.7733411626541398,0.3053435114503817,0.7733411626541398,0.07809747504403992,0.0,0.22665883734586026,3.45703125,0.576171875,0.0,0.10582872028655162,0.4907815574080673,0.7857238393523032
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,13,0.55,0.14,5,1.8,0.08,0.08,0.14,0.18,1,0.14,0.24,0.9567367119901112,0.48894504106127606,0.002258610954263128,0.1038961038961039,0.8502552467385139,0.5309132161089053,0.8502552467385139,0.07260351673284175,0.0,0.1497447532614861,5.76171875,0.576171875,0.0,0.11950504721589059,0.452342197969385,0.7854008968755972
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,13,0.72,0.14,5,1.2,0.14,0.08,0.08,0.42,2,0.14,0.36,0.9238095238095239,0.4801980198019802,0.002258610954263128,0.08526256352343309,0.7770845150311968,0.4838343732274532,0.7770845150311968,0.036301758366420876,0.0,0.22291548496880317,5.76171875,0.576171875,0.5120442708333334,0.11722565939433409,0.4612001696688909,0.8260097738533674
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,8,0.55,0.08,3,1.8,0.08,0.04,0.08,0.3,1,0.14,0.36,0.9168674698795181,0.4783155248271527,0.002258610954263128,0.09937888198757763,0.8616960728514513,0.5065452475811042,0.8616960728514513,0.04951622083096187,0.0,0.13830392714854867,3.45703125,0.576171875,0.0,0.11299251058287203,0.4853557692003533,0.7892229297385758
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,8,0.72,0.08,3,1.2,0.14,0.04,0.08,0.18,2,0.08,0.36,0.8828502415458938,0.46889031430404104,0.002258610954263128,0.11744776962168267,0.8736482640865111,0.5059760956175299,0.8736482640865111,0.05293113261240751,0.0,0.1263517359134889,3.45703125,0.576171875,0.51953125,0.10647997394985347,0.48940018290025933,0.8007814001315173
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,13,0.72,0.14,5,1.2,0.14,0.08,0.08,0.3,1,0.14,0.24,0.9023779724655819,0.4743421052631579,0.002258610954263128,0.13946922642574816,0.8609534619750284,0.5124858115777525,0.8609534619750284,0.08172531214528944,0.0,0.13904653802497163,5.76171875,0.576171875,0.0,0.10615434711820254,0.426441897409346,0.7676075352339793
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,8,0.72,0.14,3,1.2,0.08,0.04,0.08,0.18,1,0.14,0.36,0.8791208791208791,0.4678362573099415,0.002258610954263128,0.1287408243929983,0.8577120091064314,0.4906089926010245,0.8577120091064314,0.05179282868525897,0.0,0.14228799089356858,3.45703125,0.576171875,0.0,0.10126994464343862,0.4578503718843957,0.7787874439632747
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,13,0.55,0.14,5,1.2,0.14,0.08,0.14,0.3,1,0.14,0.36,0.8676470588235294,0.4645669291338583,0.002258610954263128,0.13721061547148503,0.8513053348467651,0.5022701475595914,0.8513053348467651,0.049943246311010214,0.0,0.14869466515323496,5.76171875,0.576171875,0.0,0.10485183979159883,0.43167841189218636,0.7747843995168875
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,13,0.72,0.14,5,1.8,0.08,0.08,0.08,0.18,2,0.08,0.24,0.9002525252525253,0.47375415282392025,0.002258610954263128,0.14793901750423488,0.8608745031232254,0.5076660988074957,0.8608745031232254,0.08574673480976717,0.0,0.13912549687677456,5.76171875,0.576171875,0.5374348958333334,0.10843373493975904,0.42126999169944157,0.7850926803735142
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.08,8,0.55,0.14,3,1.8,0.08,0.08,0.14,0.42,2,0.08,0.24,0.8543478260869565,0.46072684642438455,0.016042780748663103,0.07165775401069518,1.0,0.21646341463414634,1.0,0.06859756097560976,0.0,0.0,1.81640625,0.302734375,0.14973958333333334,0.045262129599479,0.5940141474800817,0.7496569381090774
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.08,8,0.72,0.08,3,1.8,0.14,0.04,0.08,0.18,2,0.14,0.36,0.8598726114649682,0.4623287671232877,0.019251336898395723,0.04385026737967915,1.0,0.2225609756097561,1.0,0.042682926829268296,0.0,0.0,1.81640625,0.302734375,0.126953125,0.04656463692608271,0.5899975612142072,0.7586156718598419
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.14,13,0.55,0.08,3,1.2,0.08,0.08,0.14,0.3,3,0.14,0.24,0.8402625820568927,0.45659928656361476,0.020320855614973262,0.08021390374331551,1.0,0.21638330757341576,1.0,0.07418856259659969,0.0,0.0,1.81640625,0.302734375,0.2109375,0.045587756431129924,0.5955427445901991,0.7482445188963213
silver,metallic,0.43821356237309517,21,13,0.04,0.58,13,0.2,8,0.72,0.08,3,1.2,0.14,0.04,0.14,0.3,2,0.08,0.24,0.8241758241758241,0.45180722891566266,0.020320855614973262,0.09197860962566845,1.0,0.20865533230293662,1.0,0.07573415765069552,0.0,0.0,1.81640625,0.302734375,0.1318359375,0.04428524910452621,0.595825286486316,0.7405340803829409
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,8,0.55,0.14,3,1.8,0.14,0.04,0.08,0.3,1,0.14,0.36,0.8318777292576419,0.4541120381406436,0.011764705882352941,0.09090909090909091,1.0,0.3010752688172043,1.0,0.04778972520908005,0.0,0.0,1.81640625,0.302734375,0.0,0.04656463692608271,0.5962711130134275,0.7559108593122844
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,8,0.55,0.14,5,1.2,0.14,0.08,0.08,0.42,1,0.08,0.36,0.8081023454157783,0.44693396226415094,0.012834224598930482,0.08021390374331551,1.0,0.2814982973893303,1.0,0.00340522133938706,0.0,0.0,3.02734375,0.302734375,0.0,0.045913383262780855,0.5936923869292872,0.7641744072033309
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.14,13,0.72,0.14,3,1.2,0.14,0.04,0.14,0.3,3,0.08,0.36,0.8061674008810573,0.44634146341463415,0.013903743315508022,0.10909090909090909,1.0,0.29634146341463413,1.0,0.041463414634146344,0.0,0.0,1.81640625,0.302734375,0.19401041666666666,0.045587756431129924,0.5975173248770032,0.761727225196101
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.2,8,0.72,0.08,5,1.8,0.14,0.08,0.08,0.3,1,0.14,0.24,0.8428874734607219,0.4573732718894009,0.013903743315508022,0.057754010695187166,1.0,0.2858757062146893,1.0,0.011299435028248588,0.0,0.0,3.02734375,0.302734375,0.0,0.048518397915988276,0.5929494547548402,0.7680516651030477
silver,metallic,0.43821356237309517,21,13,0.04,0.58,21,0.2,13,0.55,0.08,3,1.8,0.08,0.04,0.14,0.18,2,0.14,0.36,0.8366013071895425,0.4555160142348754,0.016042780748663103,0.08235294117647059,1.0,0.3180169286577993,1.0,0.0471584038694075,0.0,0.0,1.81640625,0.302734375,0.19954427083333334,0.04135460761966786,0.5965106192129357,0.7678990148923801
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,8,0.72,0.08,3,1.2,0.14,0.08,0.14,0.42,1,0.14,0.24,0.8426724137931034,0.45730994152046783,0.019251336898395723,0.06631016042780749,0.9878048780487805,0.21189024390243902,0.9878048780487805,0.0625,0.0,0.012195121951219513,1.81640625,0.302734375,0.0,0.04623901009443178,0.5947357747653716,0.7447707968318481
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,13,0.55,0.08,3,1.2,0.08,0.04,0.08,0.42,1,0.08,0.36,0.8288100208768268,0.4531963470319635,0.0213903743315508,0.04171122994652406,0.9879518072289156,0.21234939759036145,0.9879518072289156,0.03313253012048193,0.0,0.012048192771084338,1.81640625,0.302734375,0.0,0.0475415174210355,0.5897587764590404,0.7517713303176247
silver,metallic,0.43821356237309517,21,13,0.04,0.68,13,0.08,13,0.72,0.08,3,1.2,0.08,0.08,0.08,0.18,1,0.08,0.36,0.8364779874213837,0.4554794520547945,0.022459893048128343,0.040641711229946524,1.0,0.21503759398496242,1.0,0.03308270676691729,0.0,0.0,1.81640625,0.302734375,0.0,0.048518397915988276,0.5898647216630277,0.7513473406014962
